INDICATOR_ID,INDICATOR_LABEL_EN
700146,"Number of persons employed in cultural occupations and working in cultural industries"
700147,"Number of persons employed in cultural occupations and working in non cultural industries"
700148,"Number of persons employed in cultural occupations"
700149,"Number of persons employed in non cultural occupations and working in cultural industries"
700150,"Number of persons employed in non cultural occupations and working in non cultural industries"
700151,"Number of persons employed in non cultural occupations"
700152,"Number of persons employed in cultural industries"
700153,"Number of persons employed in non cultural industries"
700155,"Number of persons employed in cultural occupations, males"
700156,"Number of persons employed in non cultural occupations, males"
700158,"Number of persons employed in cultural industries, males"
700159,"Number of persons employed in non-cultural industries, males"
700161,"Number of persons employed in cultural occupations, females"
700162,"Number of persons employed in non cultural occupations, females"
700164,"Number of persons employed in cultural industries, females"
700165,"Number of persons employed in non-cultural industries, females"
700179,"Number of persons 15-24 years old employed in cultural occupations"
700180,"Number of persons 15-24 years old employed in non cultural occupations"
700182,"Number of persons 15-24 years old employed in cultural industries"
700183,"Number of persons 15 to 24 years old employed in non cultural industries"
700185,"Number of persons 25-64 years old employed in cultural occupations"
700186,"Number of persons 25-64 years old employed in non cultural occupations"
700188,"Number of persons 25-64 years old employed in cultural industries"
700189,"Number of persons 25 to 64 years old employed in non cultural industries"
700191,"Number of persons 65+ years old employed in cultural occupations"
700192,"Number of persons 65+ years old employed in non cultural occupations"
700194,"Number of persons 65+ years old employed in cultural industries"
700195,"Number of persons 65+ years old employed in non cultural industries"
700209,"Number of persons with no schooling employed in cultural occupations"
700210,"Number of persons with no schooling employed in non cultural occupations"
700212,"Number of persons with no schooling employed in cultural industries"
700213,"Number of persons with no schooling employed in non cultural industries"
700215,"Number of persons with some or completed primary education employed in cultural occupations"
700216,"Number of persons with some or completed primary education employed in non cultural occupations"
700218,"Number of persons with some or completed primary education employed in cultural industries"
700219,"Number of persons with some or completed primary education employed in non cultural industries"
700221,"Number of persons with secondary or post-secondary non-tertiary education employed in cultural occupations"
700222,"Number of persons with secondary or post-secondary non-tertiary education employed in non cultural occupations"
700224,"Number of persons with secondary or post-secondary non-tertiary education employed in cultural industries"
700225,"Number of persons with secondary or post-secondary non-tertiary education employed in non cultural industries"
700227,"Number of persons with tertiary education employed in cultural occupations"
700228,"Number of persons with tertiary education employed in non cultural occupations"
700230,"Number of persons with tertiary education employed in cultural industries"
700231,"Number of persons with tertiary education employed in non cultural industries"
700245,"Number of persons with only one job employed in cultural occupations, males"
700246,"Number of persons with only one job employed in non cultural occupations, males"
700248,"Number of persons with only one job employed in cultural occupations, females"
700249,"Number of persons with only one job employed in non cultural occupations, females"
700251,"Number of persons with only one job employed in cultural occupations"
700252,"Number of persons with only one job employed in non cultural occupations"
700254,"Number of persons with more than one job employed in cultural occupations, males"
700255,"Number of persons with more than one job employed in non cultural occupations, males"
700257,"Number of persons with more than one job employed in cultural occupations, females"
700258,"Number of persons with more than one job employed in non cultural occupations, females"
700260,"Number of persons with more than one job employed in cultural occupations"
700261,"Number of persons with more than one job employed in non cultural occupations"
700281,"Number of persons employed in cultural occupations holding a secondary job in cultural occupations, males"
700282,"Number of persons employed in non cultural occupations holding a secondary job in cultural occupations, males"
700283,"Number of persons holding a secondary job in cultural occupations, males"
700284,"Number of persons employed in cultural occupations holding a secondary job in cultural occupations, females"
700285,"Number of persons employed in non cultural occupations holding a secondary job in cultural occupations, females"
700286,"Number of persons holding a secondary job in cultural occupations, females"
700287,"Number of persons employed in cultural occupations holding a secondary job in cultural occupations"
700288,"Number of persons employed in non cultural occupations holding a secondary job in cultural occupations"
700289,"Number of persons holding a secondary job in cultural occupations"
700290,"Number of persons employed in cultural occupations holding a secondary job in non cultural occupations, males"
700292,"Number of persons holding a secondary job in non cultural occupations, males"
700293,"Number of persons employed in cultural occupations holding a secondary job in non cultural occupations, females"
700295,"Number of persons holding a secondary job in non cultural occupations, females"
700296,"Number of persons employed in cultural occupations holding a secondary job in non cultural occupations"
700298,"Number of persons holding a secondary job in non cultural occupations"
700308,"Number of persons employed in cultural industries holding a secondary job in cultural industries, males"
700309,"Number of persons employed in non cultural industries holding a secondary job in cultural industries, males"
700310,"Number of persons holding a secondary job in cultural industries, males"
700311,"Number of persons employed in cultural industries holding a secondary job in cultural industries, females"
700312,"Number of persons employed in non cultural industries holding a secondary job in cultural industries, females"
700313,"Number of persons holding a secondary job in cultural industries, females"
700314,"Number of persons employed in cultural industries holding a secondary job in cultural industries"
700315,"Number of persons employed in non cultural industries holding a secondary job in cultural industries"
700316,"Number of persons holding a secondary job in cultural industries"
700317,"Number of persons employed in cultural industries holding a secondary job in non cultural industries, males"
700319,"Number of persons holding a secondary job in non cultural industries, males"
700320,"Number of persons employed in cultural industries holding a secondary job in non cultural industries, females"
700322,"Number of persons holding a secondary job in non cultural industries, females"
700323,"Number of persons employed in cultural industries holding a secondary job in non cultural industries"
700325,"Number of persons holding a secondary job in non cultural industries"
700326,"Number of persons with more than one job employed in cultural industries, males"
700327,"Number of persons with more than one job employed in non cultural industries, females"
700329,"Number of persons with more than one job employed in cultural industries, females"
700330,"Number of persons with more than one job employed in non cultural industries"
700332,"Number of persons with more than one job employed in cultural industries"
700333,"Number of persons with more than one job employed in non cultural industries, males"
700335,"Average number of hours worked by persons employed in cultural occupations, males"
700336,"Average number of hours worked by persons employed in non-cultural occupations, males"
700338,"Average number of hours worked by persons employed in cultural industries, males"
700339,"Average number of hours worked by persons employed in non cultural industries, males"
700341,"Average number of hours worked by persons employed in cultural occupations, females"
700342,"Average number of hours worked by persons employed in non-cultural occupations, females"
700344,"Average number of hours worked by persons employed in cultural industries, females"
700345,"Average number of hours worked by persons employed in non cultural industries, females"
700347,"Average number of hours worked by persons employed in cultural occupations"
700348,"Average number of hours worked by persons employed in non-cultural occupations"
700350,"Average number of hours worked by persons employed in cultural industries"
700351,"Average number of hours worked by persons employed in non cultural industries"
700353,"Number of persons working full-time in cultural occupations, males"
700354,"Number of persons working full-time in non cultural occupations, males"
700356,"Number of persons working full-time in cultural occupations, females"
700357,"Number of persons working full-time in non cultural occupations, females"
700359,"Number of persons working full-time in cultural occupations"
700360,"Number of persons working full-time in non cultural occupations"
700362,"Number of persons working part-time in cultural occupations, males"
700363,"Number of persons working part-time in non cultural occupations, males"
700365,"Number of persons working part-time in cultural occupations, females"
700366,"Number of persons working part-time in non cultural occupations, females"
700368,"Number of persons working part-time in cultural occupations"
700369,"Number of persons working part-time in non cultural occupations"
700389,"Number of employees in cultural occupations, males"
700390,"Number of employees in non cultural occupations, males"
700392,"Number of employees in cultural occupations, females"
700393,"Number of employees in non cultural occupations, females"
700395,"Number of employees in cultural occupations"
700396,"Number of employees in non cultural occupations"
700398,"Number of persons self-employed in cultural occupations, males"
700399,"Number of persons self-employed in non cultural occupations, males"
700401,"Number of persons self-employed in cultural occupations, females"
700402,"Number of persons self-employed in non cultural occupations, females"
